Specie	TAB007	TAB008	TAB009	TAB010	APW023	APO164	APO165	APO166	APO167	APP365	APP366	APP373	APP374	APP375	APP376	APP377	APP378	APP1211	APP1212	APP1223	APP1224	APP1235	APP1236	APP1307	APP1308	APP1319	APP1320	APP1331	APP1332	APP1355	APP1356	APP1367	APP1368	APP1379	APP1380	APP1391	APP1392	APP1417	APP1418	APP1419	APP1420	APP1421	APP1422	APP1423	APP1424	APP1425	APP1426	APP1439	APP1440	APP1499	APP1500	APP1511	APP1512	APP1522	APP1523	APP1524	APP1534
d__Viruses;-__Retro_transcribing_viruses;f__Hepadnaviridae;g__Orthohepadnavirus;s__Hepatitis_B_virus	9842;16034;59514;66308;82192;78101	5075;9789;11630;35280;80079	6091;9956;71818;76556;25834;34647;48619;64623	6091;9956;71818;76556;25834;34647;64623		488;3002;5906;9969;77909;79814;17033;79712;60768;69963;71809;35280;79900;67615;94247;38174;64453;80079;79326;16087;78770;79777;67554;60830;60831;70039;70004;71134;71175;59554;79921;70640;79796;14740;20665;78833;30127;86569;40891;55470;80055;60853	9493;9734;9969;30127;40891;55470;94339;64155	17040	5869;11055;12768;14743;17056;20675;60803;66312		14642;80672;80673;14630;14629;53321;53320;78818;78819;78863;78862;70996;70995;80797;75898;75897;65353;14652;14653;80698;80699;14636;14635;70999;70998;14669;14668;75591;75592;80760;80761;53785;53786;71484;71483;50535;50534;71001;71002;80693;31937;69990;69991;65317;15336;53777;53778;14657;14658;14625;14626;71163;71162;16623;16624;65314;66310;66309;71507;71506;53781;53780;78821;78820;41904;41905;94918;72430;72431;16633;16634;80684;79134;53773;53774;16641;16640;14663;14664;20651;20652;71497;71498;78811;78810;70560;77883;94898;94899;67540;67539;71181;71139;24814;43397;67176;72352;93331	84301;28739;93948;79845		488;4906;6513;9822;9853;11656;23568;23567;79139;75898;75897;71001;71002;31937;31938;71163;71162;71507;71506;20651;20652;79815;79816;49867;60833;64155;71500;87930;80011	80742;53780;78863;80797;12064;31373;35655;38055;50409;67717;80081;80082;80034	4864;7115;9735;9764;66311;53322;66310;94252;78776;79816;28739;79796;68259;72301;92558	508;5105;9979;27667;79884;71139;71504;77539	620;743;9286;11050;77909;79814;17033;79712;60756;60757;60768;69963;71809;78094;78095;35280;79900;67615;94247;38174;80079;79326;16087;27888;56631;19723;78770;79777;67554;14738;12439;14737;60830;60831;70039;70004;71134;71175;59554;59553;79921;70640;70032;79796;14740;20665;78833;70006;78835;79666;56633;78772;80105;79734;20667;79706;80012;80081;70642;14742;50409;79680;69965;59552;80116;67503;67504;80078;80103;80052;67580;35308;50435;77936;77937;38202;38201;94256;76557;50417;80019;80042;79785;67562;71185;20652;53778;78863;78811;71484;71507;9040;14085;17064;30127;40891;55470;80082	40891;55470;63560;79841	645;12057;47530;71509	80820;15338;17739;71181;71140;71139	3123;5035;9052;12028;78819;65354;65353;80699;50535;78821;94918;79135;67539;16280;79681;70007;80111;70648;70649;93331;80656	77886	1412;4429;8546;16264;16265;82996;56322;56323;66308;66315;69319;79929	16034;75279;66308;67546;43518	9975;14626;14738;22402;65837;75571	60760;60771;60772;79962;70035	9963;11608;23567	31373;32161	50438	2066;79814	2066;5134;14662;20679;29819;79674;48192;56645;60782;69977;71189	616;999;9964;70010;16093;59560;71181;71139;80085;80084;80109;16640;71511	5796;9879;75897;65353;14648;75591;31937;65317;65314;16091;43930;64741;64748;80079;78463	3774;5847;38182;38183;17036;79891;16090;27891;19727;19726;79861;12442;60834;79755;78764;72363;13731;53671;94256;67834;80111;71260;80042	5237;9959;19292	3568;8537;78863;80797;75898;75897;65353;70999;70998;75592;71001;65317;71162;78820;14694;16746;18621;37204;71165	582;1447;7624;77932;79832;17055;79728;35303;79752;56655;56654;79700;79939;79808;79773;20688;20689;78856;14707;80821;59525;61837;80732;41145;52686;52691;52692;52726;53791;67562;67572;79337	52818	3520;9954;12007;14642;80672;80673;14630;14629;53321;53320;78818;78819;78863;78862;70996;70995;80797;75898;75897;65353;14652;14653;80698;80699;14636;14635;70999;70998;14669;14668;75591;75592;80760;80761;53785;53786;71484;71483;50535;50534;71001;71002;80693;31937;69990;69991;65317;15336;53777;53778;14657;14658;14625;14626;71163;71162;16623;16624;15323;65314;66310;66309;71507;71506;53781;53780;78821;78820;41904;41905;94918;72430;72431;16633;16634;80684;79134;53773;53774;16641;16640;14663;14664;20651;20652;71497;71498;78811;78810;70559;70560;77882;77883;94898;94899;67540;67539;79707;79720;79668;78841;71181;71139;37341;50413;53761;95044;93948;64453;80019	649;5825;9252;80105;67624;79741;79783;79801;79761;12444;15324;36957;41285;55470;80108;80014;79862	5072;77909;79814;17033;79712;60757;60768;69963;71809;78094;78095;35280;79900;67615;94247;38174;80079;79326;16087;27888;19723;78770;79777;67554;14738;12439;14737;60831;70039;70004;71134;71175;59554;79921;70640;70032;79796;14740;20665;78833;79707;72363;60840;79948;16847;25237;95643;94242;94277;81518;30081;48106;54556;81390;80109	14737;79684;60768;69969;80079;79841	530;3598;5901;9926;11018;78776;53665;77900;14697;14699;14694;60801;67530;94252;16034;16109;20700;53322;91124;66308;66315;68259;75899;78793	77909;79814;17033;79712;60757;60768;69963;71809;78094;35280;79900;67615;38174;80079;79326;16087;78770;79777;67554;12439;60831;70039;70004;71134;71175;59554;79921;70640;70032;79796;14740;20665;78833;59511;92545;16942;50452;92553;92573;70306;27884;52685;92596;92578;67582;70301;92548;93044;94235;94914;80861;80862;80852;50438;50437;94269;17738;17737;75271	5072;71181;71139;53747;53748;33940;45817;46996;47255;49262;64747;64748	5235;6411;9857;76550	80672;80673;53321;53320;78818;78819;78863;78862;80698;80699;70999;70998;71484;71483;80693;69990;69991;15323;71507;71506;16633;16634;80684;71980;71981;54527;54526;20651;20652;71497;71498;78811;78810;78798;78797	60216	6775;59510;92544;17061;14503;79759;60776;60852;79966	5837;55729;71181;71140;71139;53320;69500	4845;4886;9857;63885;80678;13034;12357;59508;53768;70162;94282;80790;66300;75904;16034;57215;80705;80767;71490;67641;50541;94288;70166;69997;80841;75279;60858;51115;12551;15342;16099;76970;80858;71168;16629;67548;41911;16940;16114;50444;80690;80775;70086;53763;53796;80734;80868;53744;72438;60849;60805;41609;80758;20658;51421;56509;78816;78804;77216;66308;80745;94904;94905;67546;80641;70080;18556;40891;94339;92544;60852	40891	3606;6775;12021;27878	5909;6775;11649;74194;71304;17061;14503;14698;38201;48106;48118;59119;66247;80012	4941;51469;56660;80015;79841;76556	19748;79941
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Deltaretrovirus;-__unclassified_Deltaretrovirus;s__Human_T_lymphotropic_virus_4	22152;80194	9318	64590;64623	64623		64642;65418;65557			12768;22218			21983;27797;91101		22036;22037;22162;22205;22206;91663;91664;80202;80217;56784		22174;56784;69397		23285;33468;35648;36463;61560;64769;78899	21923					1412;35663;36478;51960;64784				12307;64789			65556	21995;78905		21983;23285;91101;33468;35648;36463;64769	77415	51953	21926;22028;91137	27804;80880;30040;80194;78901		21983;91101			51929;56785	21997		69498;78870			23303		69500	64805		76848	27820	30040	
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Deltaretrovirus;s__Primate_T_lymphotropic_virus_1	22152;80194;91138	9318	64590;64623	35568;64623		64642;65418;65557	30043		12768;22218			21983;27797;91101		18245;22036;22037;22162;22205;22206;91663;91664;80202;80217;56784;65554	35656	22174;56784;69397		23285;33468;35568;35648;36463;80239;61560;64769;78899						1412;35663;36478;51960;64784	65549		80881;30041	12307			65556	21995;78905	21979;36463;65528;65545	21983;23285;80881;91101;33468;35568;35648;36463;64769	77415	51953	21926;22028;30043;91137	27804;80880;30040;80194;78901		21983;91101			51929;56785	21997		47255;69498;78870			88923;23303		69500	64805		76848	27820	30040	
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Deltaretrovirus;s__Primate_T_lymphotropic_virus_2	22152;80194	9318;54047	64590;64623	35568;64623		64642;65418;65557			12768;22218			21983;27797;91101		22036;22037;22162;22205;22206;91663;91664;80202;80217;56784		22174;38333;56784;69397		23285;33468;35568;35648;36463;61560;64769;78899						35663;36478;51960;64784				12307			65556	21995;78905		21983;23285;91101;33468;35568;35648;36463;64769	77415	51953	21926;22028;91137	7907;27804;80880;30040;80194;78901		21983;91101			51929;56785	21997		69498;78870			23303;24160		69500	64805		76848	27820	30040	
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Deltaretrovirus;s__Primate_T_lymphotropic_virus_3	22152;80194	9318	64590;64623	35568;64623		64642;65418;65557			12768;20353;22218			21983;27797;91101		22036;22037;22162;22205;22206;91663;91664;80202;80217;56784		22174;56784;69397		23285;33468;35568;35648;36463;61560;64769;78899	21923					1412;35663;36478;51960;64784				12307			65556	21995;78905		21983;23285;91101;33468;35568;35648;36463;64769	77415	51953	21926;22028;91137	27804;80194;78901		21983;91101			51929;56785	21997		69498;78870			23303		69500	64805		76848	27820		
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Gammaretrovirus;-__Mammalian_gammaretrovirus_group;-__Replication_competent_viruses;s__Murine_leukemia_virus	91138	21931;30902;91142	30915;64623	30915;64623	78276	46233;64642;65418	47368;91119;94594	30901;30902;80331	46233		48906	80223		18245;22162;30901;30902;80202;35355;80217;65554	35656;38054;38055;40434;40537;80221;94594		30915;80245;80238;80239;78207	30914;80245;80238;80239	21923		78276	5035;18139;21907;91118		51960;54463;56322	30902;65549			40557				20679;21914;79674;56645;60782;69977;71189	21979;80332	91147	25390	30904	21926;22028;80221;80222;91137	30915;80245	18139	5031;5054;21883;21922;21998;30915;80346;91150;80331;91132;91133;65886	21892;21893;23247;23251;36476;47776;51981;91103;91104;64620;64782;65555;68342;69456;78271;78277		68342	21882;21892;80328;91103;91124;69435	40537;80332	80343;80325						84735;30902;80334;64805		76848	80222	18245;18246;21883;22061;23246;23247;47368;80346;80331;64619;64620;65554;65555;94594;78276;78277;78398;78399	30915
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Gammaretrovirus;-__Mammalian_gammaretrovirus_group;-__Replication_competent_viruses;s__Porcine_type_C_oncovirus	91138	21931;30902;91142	30915;64623;69183	30915;64623;69183	78276	64642;65418;65557	91119	30902;80331	70956			80223		18245;22162;30902;80202;35355;80217;65554	35656;38054;38055;40537;70956	23262	30915;80245;80238;80239;78207	30914;80245;80238;80239	21923		78276	21907;91118		51960	30902;65549			40557				20679;21914;56645;60782;71189	21979;80332	91147		30904	21926;22028;25811;80222;91137	30915;80245		5031;5054;21883;21922;25811;30915;80346;91150;80331;91132;91133	21892;21893;23247;36476;51981;91103;91104;64620;64782;65555;69456;78271;78277			21882;21892;80328;91103;91124;69435	40537;80332	70956						30902;80334;64805		76848	80222;70956	18245;18246;21883;22060;22061;23246;23247;80346;80331;64619;64620;65554;65555;70956;78276;78277;78398;78399	30915
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Gammaretrovirus;-__unclassified_Gammaretrovirus;s__Murine_leukemia_related_retroviruses	91138	21931;30902;91142	30915;64623	30915;64623	78276	31557;64642;65418	91119	30901;30902;80331				80223		18245;22162;30901;30902;80202;80217;65554	38054;38055;40537;80221		30915;80245;80238;80239;78207	30914;31557;80245;80238;80239	21923		78276	5035;21907;91118		51960	30902;65549			40557					21979;80332	31557;91147		30904	21926;80221;80222;91137	30915;39772;80245		5031;5054;21883;21922;21998;30915;80346;91150;80331;91132;91133	21892;21893;23247;23251;36476;47776;51981;91103;91104;64620;64782;65555;69456;78271;78277			21882;21892;80328;91103;91124;69435	40537;80332	80343;80325						30902;80334;64805		76848	80222	18245;18246;21883;22061;23246;23247;80346;80331;64619;64620;65554;65555;78276;78277;78398;78399	30915
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Lentivirus;-__Primate_lentivirus_group;s__Human_immunodeficiency_virus_1	11819;17434;18321;18856;19386;22196;23378;23883;25431;35429;45525;91138;69776;78417	90775;23919;31562;59253;60895;64671;85119;77345;78228;78229	1844;13852;19704;22134;23079;25637;30063;31522;33490;35650;35857;36428;36429;41091;41882;47279;53019;64541;64542;64590;64623;65255;84505	13852;19704;22134;23079;30063;31522;31525;33490;35568;35857;36428;36429;41091;41882;47279;53019;55199;64541;64542;64623;84505	77343;77344;78226;78276	16429;17450;18995;22128;22188;23197;23346;23352;23911;27726;27727;27775;31557;31710;33462;35736;38492;42488;51373;64642;64679;65557	1661;2622;67817;20245;23197;23381;23382;27705;38126;93768	91732;56393;22819;35925;38493;53292;90713;62295	1124;18260;18448;20353;24035;24122;35922;36578;46449;47279;64358;64506		23421;37226;80617;80564;78371;78388	22088;23274;24119;25631;25633;36578;38048;38049;40091;40531;43407;64647;69430;77235;77343;77344;78227;78276	22089;31674;47279;84568;69777;77277;77278;77331;77332;78216	17401;19056;19658;19662;23369;23389;24107;24134;25634;25761;29301;36516;82017;39207;44767;53481;54450;93768;94053;60895;62665;65191;65588;69776;74566;88303;88398	8503;12064;93492;18278;18325;18433;19596;21841;23227;23313;23865;24124;24665;25383;26179;35540;35655;35656;36470;36490;36574;57790;64119;64660;64817;65241;90568;90529;76885;77282;77336;77386;77387;78242	886;2622;10416;94252;17430;17469;19034;19035;19036;19706;20245;21869;23136;23137;23256;23257;23262;23881;28347;33441;41881;47279;51058;53019;54450;55199;93768;64916;69934;71265;76806;77347;77366;78425	17830;23196;24008;35736;35737;38057;39374;41588;46092;65604;78409	886;92094;11819;40334;17452;87722;19025;20245;21854;22038;22118;23075;23205;23285;24065;24080;25828;31557;32667;33468;35568;35613;35614;35648;36415;36463;36512;41866;53019;55666;56591;57169;64630;64769;72893;77306;78243;78286;78408	19370;22115;24922;31564;31643;35642;35657;35658;36578;47279;57746;69180;75964;78237	753;31683;37226;80617	12982;86353;81870;81854;25431;35774;36398;36530;41091;41563;81986;78276	5035;17461;19390;19391;22194;22823;22824;23202;23203;23858;23881;31665;35886;36457;36485;38210;88831;58250;62665;64417;70649;74613;76885;76886;77239;77282;77283;77292;77384		49910;38980;67817;13313;17489;19034;19035;21068;24013;24134;24403;25633;26814;31518;31635;33444;33461;35561;35641;35663;82996;35925;36375;36478;42468;42489;45222;47279;49114;51960;52927;53919;64761;64784;65614;65686;74356;77369	23382;27712;64808;65548;65549	94157;17483;18320;19385;19591;22088;22189;22818;23369;23376;23860;23867;23875;23882;29301;31589;90444;35856;35863;36520;38492;86764;64412;64584;64600;64647;65530;65531;69776;75964;76880;77277;77331;77368;78215	8730;93455;84568	27178;31507;36393;40557;42468;47279;64570;64789;65257;72008	19679;48924;65383	22078	23290;23891;27734;31562;33473;80617;51641;64504;65240;65241;65520;65521;65537;65538;65556;90020;77286	12370;49910;91732;84142;94252;18257;19061;19062;20273;22115;22194;22535;22823;23166;23231;23363;23375;23858;23860;23861;23867;23875;23880;23881;23928;23965;23977;23978;23979;24009;30333;31579;31583;33480;35661;35687;35736;35791;35863;36525;36526;36578;38224;41881;49087;53019;54315;54450;64417;64653;65431;69768;69776;69781;69782;70116;82654;75964;76885;76886;76946;77282;77283;77366	82538;1661;10732;44767;22939;22940;80085;80109;12982;19007;19597;65154;65159;21979;22121;22823;23287;23858;23881;23888;24123;25636;30515;35400;35523;35793;36375;36463;36502;36830;46646;47279;84096;84108;64417;64699;65191;65527;65528;65544;65545;76886;77282;77283	1987;2181;6503;90698;19376;90305;19685;19686;22827;23285;23382;23860;23867;23875;23882;24055;24665;31557;31589;32600;33453;33468;35415;35568;35648;35856;35863;35893;36463;38492;85332;39901;41860;45820;49048;53919;57790;64769;65424;66798;67817;69180;69776;74904;76946	19694;22822;23957;24760;90943;31506;90911;34376;35407;35540;38206;54192;64416;74519;77277;77331;77415	34046;57736;57751;57756;23139;23140;24130;90985;35398;35737;35738;35886;38214;38215;90957;76923	62477;17419;19051;19658;19662;21926;22028;22088;23207;23277;23281;23919;23928;31553;31723;35678;37226;80617;80564;46959;50864;53019;91137;60646;80937;63402;64662;67386;69702;70361;78224;78255;78300	90713;22535;23867;24630;25484;25709;26475;28347;30040;90378;81656;47279;79500;67562;74112;82654	18292;22068;22070;22121;23106;23137;23166;23307;23917;24007;32600;35734;35857;35880;35910;36395;41876;42470;64485;64628;64629;64778;76944;77232;78266;78285;78286	2100;84499;18260;22384;24013;24091;25812;31565;31650;33443;41091;41186;41857;44346;47279;50962;61663;61714;90491;86764;74904;76897;81466	249;57928;65686;18225;18226;18305;19034;19642;22053;22071;22110;23125;23149;23209;23210;23247;23251;23378;24021;24160;26475;27731;31648;33451;36401;36476;36486;37226;80617;41115;41865;64620;64672;64769;64782;65555;69456;77245;77292;78271;78272;78277;78286;78395;78408	1643;96019;72008;44767;22939;91696;20355;33356;36496;47279;66153;90746	15240;22188;22384;23346;23882;24073;24088;27775;90378	8503;9926;94252;19007;20700;20855;20857;21997;22429;23309;28347;30882;31723;38057;86722;42133;48996;52880;53019;94322;61953;65253;69934;77420;77421;79364	23278;23860;24146;81854;31525;31665;35641;81986;48303;60667;69180	191;19478;20245;23278;23279;35613;36375;36830;39443;41115;49966;69109;74518;74613	4439;24089;47279;65530	56393;64644	17463;17474;19007;22041;22110;22140;23125;23155;23185;23215;23303;23936;23996;24026;24160;31648;31723;35899;35918;35929;36414;36548;41865;41895;42488;64504;76886;76897;76898;76908;77250;77305;77385;77386;77396;78232;78242	14962;23327;35778;36470;53725;64776;77276;78375	51717;92053;56138;22134;22135;23930;23931;31643;35923;35924;38232;42483;47279;53996;78304	90746;17017;17483;19034;19386;23882;24134;25250;27178;31518;31519;36512;36578;47279;51736;90484;64805;64916;66119;69701;69777;77277;77278;77331;77332;78216	23285;23286;33468;35568;35569;35648;35649;36463;36464;82375;64769		23075;24036;90985;31518;33433;35609;36424;36470;42936;44145;47279;90484;64537	10975;54539;18245;18246;22060;22061;23227;23246;23247;23313;23888;23951;85842;30040;31666;31701;35398;35399;35782;35919;36512;42467;45287;48924;64406;64619;64620;65554;65555;71762;78276;78277;78398;78399;79210	22124;23979;35549;35629;35630;35701;36512;47279;94848;64836;69721;72228
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Lentivirus;-__Primate_lentivirus_group;s__Human_immunodeficiency_virus_2	18321;19386;23378;23883;35429;91138;78417	23919;31562;31563;64671;77345;78228;78229	22134;23079;31522;33490;35650;35857;36428;36429;41882;42141;86633;86691;64541;64542;64590;64623;65255;65380;74695	22134;23079;31522;31525;31563;33490;35568;35857;36428;36429;41882;42141;86633;86691;64541;64542;64623;74695	11778;69760;77343;77344;78226;78276	23197;27726;31557;33462;35736;42488;64642;64679;65557	23197;23381;23382	22819;35925;38493	12768;18260;20353;24035;35922;64506		31504;78371;78388	11778;22088;23274;38048;38049;40531;64647;69430;69760;77235;77343;77344;78227;78276	22089;31674;84568;69777;77278;77332;78216	18245;18255;18259;19678;19679;22071;22190;22819;23136;23203;23256;23257;23854;23890;23891;31504;31505;33262;33464;35384;35385;35517;35518;35597;35598;35671;36382;36383;36435;36486;38204;38205;64548;64567;64568;65554;65587;65617;78408	18278;18325;19596;23227;23313;23865;24124;31563;35540;35655;35656;36470;36490;64758;64817;64818;65241;76885;77282;77336;77386;77387;78242	17430;17469;19035;19036;19706;21869;23136;23137;23256;23257;23262;23881;23914;33441;35425;35576;41881;69829;77366;78425	23196;24008;35736;35737;64844;64845;78409	21854;22038;22118;23075;23285;24065;24080;24111;31557;33468;35391;35568;35613;35614;35648;36415;36463;36511;36512;41866;86633;64630;64769;77306;78243;78286;78408	19370;23292;31564;31643;35579;35642;35657;35658;75964;78237	23914	31563;35774;36398;36530;78276	5035;19390;19391;22194;22823;22824;23202;23203;23858;23881;23894;31665;35886;36457;36485;38210;64417;76885;76886;77282;77283;77292		17175;17489;19035;20959;23383;24013;31518;31635;33444;33461;35561;35641;35663;35925;36478;42468;42489;51960;64761;64784;65614;74017;77369	23382;64808;65548;65549		84568	23353;31507;36393;42468;64570;64789	19679;26606	22078;86691;74695	23290;23891;27734;31562;33473;64504;65240;65241;65520;65521;65537;65538;65556;77286	2021;18257;19061;19062;22194;22823;23166;23231;23363;23375;23858;23861;23880;23881;23928;23965;23977;23978;23979;24009;26606;31505;33480;35579;35661;35687;35736;36525;36526;38224;41881;64417;69768;69781;69782;75964;76885;76886;77282;77283;77366	19597;21979;22121;22823;23287;23858;23881;23888;35400;35523;36463;36502;64417;64699;65527;65528;65544;65545;76886;77282;77283	19376;19686;23285;23382;24055;31557;33453;33468;35415;35568;35648;35893;36463;41860;64769	38182;19694;22822;23957;31506;35407;35540;38206;64416;77415	23139;23140;35398;35737;35738;35886;38214;38215	17419;19051;21926;22028;22088;23207;23277;23281;23919;23928;31553;31563;35678;91137;69702;69703;78224;78255;78300	18238;18245;18246;19676;20358;22104;22105;23099;23100;23138;23232;23308;23318;23360;23361;23894;23920;23978;27734;27743;31510;31511;31562;31563;31581;31630;31633;33422;35390;35391;35416;35523;35524;35603;35604;35661;35662;35675;35676;36388;36389;36476;36477;36490;36491;36511;38075;38211;91885;84568;64017;64574;64587;64619;64620;64633;64796;64797;65554;65555;69705;69724;69806;70751;76935;77241;77251;77287;77329;78243;78276;78277;78398;78399	18292;22068;22070;22121;23106;23137;23166;23307;23917;24007;31563;35734;35857;35880;35910;36395;36511;41876;42470;64485;64628;64629;64778;76944;77232;78266;78285;78286	11778;18260;24013;25812;31565;31650;33443;41857;76897	18225;18226;18305;19642;21893;22071;22110;23125;23149;23209;23210;23247;23251;23378;24021;24160;27731;31648;33451;36401;36468;36469;36476;36486;41865;91104;64620;64672;64758;64769;64782;65555;69456;77245;77292;78271;78272;78277;78286;78395;78408	20355;36496	24073;35425;35699;35700;47558	17175;17424;17425;17455;19059;19061;19062;19345;19348;19391;19706;20349;20350;21860;21861;21869;21893;22044;22045;22046;22123;22822;23231;23244;23281;23282;23285;23299;23300;23386;23864;23876;23881;24071;24072;24114;24148;24149;31557;31586;31661;31694;31695;33467;33468;35398;35425;35428;35568;35579;35648;35703;35772;35860;35866;35867;36460;36463;36514;36526;38469;38472;41881;91104;55389;64529;64586;64587;64590;64603;64604;64607;64768;64769;69704;76883;76884;76885;76886;76936;76940;77227;77270;77320;77366;77383;77411;77412;77415;78260;78261;78365;78366;78382;78383;78425	23278;24146;31525;31665;35641;36468;74017	23278;23279;35613;38249;84111;84105;64758;84066	24089;65530	64644	17463;17474;22041;22110;22140;23125;23155;23185;23215;23303;23936;23996;24026;24160;31648;35899;35918;35929;36414;36548;41865;41895;42488;64504;65289;76886;76897;76908;77250;77305;77386;77396;78232;78242	35699;36470;64776	22134;22135;23930;23931;31643;35923;35924;38232;42483;64774;78304	19386;31518;31519;36511;36512;64805;69701;69777;77278;77332;78216	23285;23286;33468;35568;35569;35648;35649;36463;36464;64769		23075;24036;31518;33433;35609;36424;36470;64537	18245;18246;22060;22061;23227;23246;23247;23313;23888;23951;31516;31701;35398;35399;36511;36512;64406;64619;64620;65554;65555;78276;78277;78398;78399	22124;23979;35549;35629;35630;35701;36511;36512;64836;69721
