Specie	TAB007	TAB008	TAB009	TAB010	APW023	APO164	APO165	APO166	APO167	APP365	APP366	APP373	APP374	APP375	APP376	APP377	APP378	APP1211	APP1212	APP1223	APP1224	APP1235	APP1236	APP1307	APP1308	APP1319	APP1320	APP1331	APP1332	APP1355	APP1356	APP1367	APP1368	APP1379	APP1380	APP1391	APP1392	APP1417	APP1418	APP1419	APP1420	APP1421	APP1422	APP1423	APP1424	APP1425	APP1426	APP1439	APP1440	APP1499	APP1500	APP1511	APP1512	APP1522	APP1523	APP1524	APP1534
d__Viruses;-__dsDNA_viruses__no_RNA_stage;o__Herpesvirales;f__Herpesviridae;-__Gammaherpesvirinae;g__Rhadinovirus;s__Human_gammaherpesvirus_8	9034;75917;15047;24596;25565;35089;38679;38726;55387;65890;78079;78883	22801;46817;54047;89119	8952;61181;14834;18195;20827;53123;55210;55938;72348	3479;8952;14834;18195;20827;38850;53123;55210;55938;72348	14847	759;91467;15129;16429;38288;38682;46142;48293;54981;60117;72347;72410	18138;46496;75931	8855;20980;24574;24575;29855;52900;52901;65049	18157;72400		759;8752;8777;15115;16296;18180;18181;18182;18183;18184;33822;47842;47843;49169;49170;52882;54071;55164;60364;65041;65043;65044;65045;72396;72397;72399;75461;75463;75464;75496;75501;75503;75504;78063;78064;78065;78066;78067;78068;78069	14835;14847;15004;18191;46045;46776;48322;53135;53151;54134;55308;55965;66465;79845		54318;12718;14834;14835;22452;23369;25761;30104;48285;52901;55386;55387;55948;66112;72549	8963;9984;16296;12501;12650;14786;14837;16430;18199;18750;26730;33925;34571;36939;41101;45991;45992;46145;46161;46492;46517;51274;52866;54129;54130;56601;56930;57948;58289;66473;66487;66488;68846;78555	14787;15003;18145;20315;24604;86330;29871;30657;30667;34509;34536;38683;45966;48077;52900;52901;54119;89119;60364;66335;66533;66697;66698;69934;70900;78065	9007;12733;12743;14792;14834;14835;15125;22802;33822;35463;45960;47839;65054	8778;14834;14835;15046;15125;20754;25828;26751;29888;29915;30072;21085;33703;34509;40930;40931;49145;52786;54061;54133;54134;58992;61907;66510;66698;66793;66794;72399;72553	8778;16070;20977;25922;52862;66406;72396	8731;16452;35797;38699;48269;58126	12758;25576;41091;54143;66506;70911;78059	8918;14834;15041;18139;33847;38411;52773;55168;60364;74613;74614	9015;16452	3480;14834;14984;14985;19871;29494;30406;79647;35463;35487;35488;43044;45925;45985;45986;47483;48194;53072;53920;55164;89119;78659	16452;21100;80129;25582;29881;29882;30451;48655;55145;55146;60051;66538	24596;24597;29831;54318;66684;67207	186;8730;22802;42761;46050;49169;60364;66670;66684	8977;78678;12307;14999;18181;33753;45930;49078;52904;53231;66698;71478	18145;25911;25912;48249;48250;52862	8956;22802;33822;38351;52840;66684	14820;18136;18145;21097;21111;21112;30096;33860;33861;38350;90797;42921	4352;4639;8855;12758;14894;15006;22812;29819;29871;29881;29882;34089;34091;35119;46022;46023;46517;46753;53231;54129;54130;54144;65019;75505;78065;78678;78756	8953;9985;57058;32847;34634	7683;9521;27869;12745;19957;24597;25540;25836;20830;52901;55168;55385;66473;67207;72553;91467;78058	8890;10033;12650;14820;15131;15132;18099;22784;20830;34376;46480;48284;60364;66112;72553;75578	3244;8876;14812;14883;18148;30406;30628;52839;54050;71454	12698;14694;14902;18181;25574;25683;25811;29881;29882;35495;43538;45891;45925;45992;46959;54114;54115;65036;72592;75456;75497;78059;78255	8746;8855;8952;9015;54318;12698;14800;14934;18109;19546;24622;24630;25565;25855;26754;29858;29881;34509;38413;46694;46817;48237;48263;48333;52753;53161;58458;60364;74044;77757;78921	18139;18140;18145;20977;27524;30057;30058;33788;52817;52818;66512;78460	8952;9018;9028;15003;15074;15126;18189;20072;20302;20764;20892;20995;22802;24779;25553;25700;25812;33822;41091;42760;45875;45898;45899;46750;55164;66473;66684;71223;72404;75463;78075	4370;8855;8966;67624;12644;14785;14786;15131;15132;18136;18153;20989;25736;25763;26140;26498;29871;30074;20830;30418;35122;38698;45992;46496;46742;46743;46814;48245;48817;49151;60364;78068	14834;14835;22802;22803;22804;25572;26589;34971;38444;45924;45930;46204;53072;54048;65312;66685;66686;67712;67713	8778;25736;29843;35462;48077;48272;52785;70903;75481	8952;8957;9022;14694;55168;14759;14786;14806;14834;14835;18180;18183;18189;24626;80129;25582;25746;29871;34536;35460;38683;41475;45928;46936;52880;52901;54119;89119;65048;66473;69934;70900;72397;72405;72567;75463;75503;75505;75520;78065;78068;78069;78071	14933;14967;20784;22802;21085;48303;52901;54048;54049;66684;75504;78070	7305;55499;47255;48332;51136;74613;74614	8873;12644;14834;15078;22802;29494;42764;46138;75481;75519		70407	12736;12737;14930;14962	8952;22802;29831;52809;52810;53160;54072	9028;14930;18145;18194;26242;90405;90406;34089;65058;69945;72408;75473;75474;75481;75512;78079;78080			14930;34089;42761;47483;54055;54056;54123	8855;75590;75589;34593;14953;35089;43795;43796;43813;46817;47842;47843;48273;52900;52901;54066;54067;60364;67702;72328;72348;78072	8909;9015;57281;61147;55739;67602;57274;61167;57232;75316;75296;51268;78537;56353;57267;55733;75950;57253;14882;22802;25699;25738;33822;54965;65063;66493
d__Viruses;-__dsRNA_viruses;f__Amalgaviridae;-__unclassified_Amalgaviridae;s__Zygosaccharomyces_bailii_virus_Z																																		53682;27869																							
d__Viruses;-__dsRNA_viruses;f__Picobirnaviridae;g__Picobirnavirus;s__Human_picobirnavirus	11402;56823;74796	12796	11417;74789;12829;12791;12867;12866;12810;12886	11417;74789;12829;12791;12867;12866;12810;12886		8644	12814		8676;12787		12794		74794	11419;12793;12819;12820;12862;74791;74792	12929;12930	8712		8701;11409;11426;56834;74777	12851;12852	12891;12892		8671;11409;12874;12896		12891		12891;12892				12849		12891;12916	8697;11429;12869;56848	12867;12926;25060;56829	11426;12895			6477;9262	12835	6483;12891;12892;56837;74775	8650;8673		56815			8645	12872	12869							1258		
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Sedoreovirinae;g__Orbivirus;s__Great_Island_virus						14484											9979															26629						67572;74457		47452												42427;26629;55060			18756		
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Sedoreovirinae;g__Rotavirus;-__unclassified_rotaviruses;s__Rotavirus_I	3210	3132	5948;5975;95771;68962;25149	5948;5975;95771;68962;25149			69303	6006			3142			3139;3156;56372		3165;38868;49469;56369;56371;56372;69234	5945	42428;33316;42430;51382;69244	42424		3112	3106;3123;81484;93258	62648	3159;3210;69239;69319	5958;49468			56371			51384	91535;77979	81484;42442;56369				3128;5985;42426	3228;42413		3132;5945;42437;42438;69315;13058;53327;67662;72240	57409;57410;49470;49471		3175;42424;51388;51389;56371;56372	3228	91530			72251			3231	42427;42428;56371			72251	5989;33316	
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Sedoreovirinae;g__Rotavirus;s__Rotavirus_A	91513;35264;44710;44711;92210;89934;62165;77967	5195;19260	23068;23067;84508;56231;56232;19408;26162;88855;84505	23068;23067;84508;56231;56232;88855;84505	26893;84340	3278;4814;88133;42728;46080;85504	44711;44710;31037;92173;70684	72277	84511;56227;92446;51714;89110;74162		19408;35331;51047;69281;75254	26893;56204;18078;92193;84340;58569;77967	3656;4783	92083;91587;2615;3661;4836;84519;7684;11408;17515;52603;17680;84349;19408;28203;92459;92462;92418;92419;84393;56209;74171;84411	92112;92120;91900;91540;75997;52631;56280;68567;17514;72001;59473;52658;52603;13361;81235;22279;81360;35016;81337;81450;38939;41664;42409;81215;48009;48010;48156;49936;92301;54247;56211;57379;63419;93908;84453;68442;84426;69266;72251;74151;74172;75255;84404;77964;78356	91513;35016;17081;19408;19902;92232;31035;31785;35327;92418;47872;80998;80986;66071;72233;76806	19408;55171;68414;68415	92094;84522;42428;18078;84341;31037;36415;40930;41866;84332;84340;42395;42430;48009;48010;92211;92256;51382;56163;66793;92425;72273;72277	84437;68444;68445;56214;56213;84407;68433;68434;42424;55532;70695;72273;92341	88771;81235;31683;49257	19408;44710;92210;56214;84437;68434;68444;68445;69265;70684;84507;74240	84423;3106;84522;68443		740;31040;92195;92236;92174;92175;68403;84495;19260;33277;38107;40218;42489;46390;56183;64761;67098;68402;68435	5958;72256;84493	91513;68443;68442;56212;84406;84426;84427;68432;56219;72240	91587;68417	42744;42745	92335;92334	84466;56214;84437;68434;68445	92364;84522;68442;84426;92263;56170;68405;44715;18075;35327;47372	91535;92096;68443;68442;56212;56211;84406;84405;84426;84427;68432;62319;77979;61593;61592;84479;83587;92231;31018;35311;92256;56162;56163;94199;70695;76802	3114;91897;3661;84403;7072;7485;84434;84435;68443;68442;56212;56211;84406;84405;84426;84427;68431;68432;93428;17514;41585;51722;52631;62165;69272;69273;69274;69281;70684;72276;76829	3116;4809;72249;72248;17708;17709;77985;17715;17716;77992;17717;73707;44715;92282;17652;19266;19408;92272;35510;48730;92203;56154;56214;89125;84453;84437;68433;68434;68444;68445;92426;71946;84407;76829	38183;19408;35514;38938	84503;41586;56204;68380;68947	91587;3489;3668;3686;41665;92177;92330;92464;42426;48006;80998;80937;80986	92071;1287;92112;3661;84489;7684;60825;84435;68443;56212;84406;84405;84427;68432;84437;84429;68434;35319;35320;51714;51715;41686;92192;92280;92281;92347;42743;41688;92302;92194;38961;92277;92253;38954;92191;56160;92207;92229;42736;42737;92345;92296;44705;92232;43327;81360;19408;81235;22279;33495;35016;36987;81337;81450;38943;38944;41651;84340;48148;84388;81433;64633;68402;68403;68417;72230;72231;72273;72290;78353	84437;84436;68444;68445;56214;56213;84407;84429;68433;68434;18078;19408;84340;42433;42434;44715;75254	91528;3033;3614;91908;91565;91942;41665;92177;92330;35510;84496;23064;84499;84512;19408;21288;81055;48730;53327;55171;68388;84427;72240;72277;84406	91587;3622;91545;35315;41690;92282;18069;42736;84357;70677	2423;84426;84437;84436;68444;68445;56214;56213;84407;84429;68433;68434;75997;52631;56280;68567;17514;59473;52658;52603;41677;12355;12354;92273;92162;92342;35722;84500;84501;72273	17697;84500;84501;42045;84514;84515;72256;84412	3656;92309;41672;41673;92184;92185;92270;92337;92338;12352;31025;92272;92223;92340;41686;92192;92281;92504;26214;92229;92232;92235;35327;42403;72273;77962;78356;78357	737;91530;3656;3663;56224;76843;76842;84452;84486;56207;68417;76826;76844	92074;91972;3613;17515;56664;72469;72001;51710;92217;31019;39443;49257;55532;60655;84507;74160;79114	41684;92346;84338;92210;51710;70684;75960	41586;72251	22140;35899;35929;36414;36548;41586	91540;84431	51717;92053;56138;51724;92218;35315	42427;42428;19408;84340;88493;76827;76828;79114	1272;44710;44711;92210;56227		41675;12352;38948;42731;18078;35609;84340;42722;45753;68425;84358;72251	737;5387;91737;91694;91712;33345;51047;22561;17697;34204;40122;68928;92337	35320;35321;19408;80914
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Sedoreovirinae;g__Rotavirus;s__Rotavirus_B	3210;33322	33322;57416			50207	5955;5990;33322;42411;69250	57416;69303;75009	6006			3142;5990;67664	50207		3139;3156;56372	35726	748;3165;11346;38868;49469;56369;56371;56372;57416;69233;69234	5945;33322	11346;42428;57408;33316;42430;51382;69244	5990;42424		3112	3106;3123;81484;93258		3159;3210;69239;69319	5958;49468			33317;56371;69370;69371				91535;5990;77979;33306	81484;42421;42442;56369;57416	3116;3231;5975;6002;72249;72248;17708;17709;77985;92272;56154;57416;69305;69306	5955;42413;69258;69363;69364	67664	3128;3172;5985;35728;42426;57413;69362	33303;42413		91528;5945;42437;42438;35202;69315;13058;53327;67662;72240	57409;57410;19129;49470;49471			5981;31025;92272;92223;92340;92504;18356;41742;41743;50207;69236	91530;83281	69370;74160	57416;75960	72251			3231	42427;42428;56371			41675;38948;42731	5989;33316;57416	
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Sedoreovirinae;g__Rotavirus;s__Rotavirus_C	91513;3210;44710;44711;92210;77967	6861;68456	2029;3191;23068;23067;84508;56231;56232;65381;84505;72229	2029;3191;23068;23067;84508;56231;56232;65381;84505;72229	26893	4814;42728	44711;44710;31037;92173	72277	84511;56227;92446;51714;74162		35331;68454;72229	56363;26893;56204;92193;76833;77967	4783	91587;3661;4836;84519;17515;92459;92462;92418;92419;84393;56209;68383;74171;84411	3220	91513;92232;31035;35327;92418;72233;76806	68414;68415	2698;92094;84522;42428;31037;33316;42430;48009;48010;92211;92256;51382;56163;92425;72273;72277;76823	84437;68444;68445;56214;56213;84407;68433;68434;55532;56363;72273;92341	49257;49258;76810;76830	44710;92210;56214;87061;84437;68434;68444;68445;84507	84423;1792;84522;56364;68443		740;3210;31040;92195;92236;92174;92175;68403;84495;49259;56183;61082;68402;68435;76832;76833	3220;49468;72256;84493	91513;68443;68442;56212;84406;84426;84427;68432;22463;91769;32226;56219;91756;72240	91587;3225;68417	42744;42745	3225;92335;92334	84466;56214;84437;68434;68445	92364;84522;68442;84426;92263;56170;68405;44715;35327	91535;92096;68443;68442;56212;56211;84406;84405;84426;84427;68432;56363;77979;61593;61592;84479;92231;31018;92256;56162;56163;85732;76802	56363	3116;3224;4809;72249;72248;17708;17709;77985;17715;17716;77992;17717;44715;92282;92272;35510;92203;56154;56214;84453;84437;68433;68434;68444;68445;92426;72229;84407;76829	35514;38938;88929	3220;84503;56204;68380;68429	91587;3489;3668;3686;41665;92177;92330;92464;37371;42426;48006;76833	92071;92112;2465;3661;84489;84435;68443;56212;84406;84405;84427;68432;84437;84429;68434;35319;35320;51714;51715;41686;92192;92280;92281;92347;42743;41688;92302;92194;38961;92277;92253;38954;92191;56160;92207;92229;42736;42737;92345;92296;44705;92232;18397;22279;38943;38944;84388;81433;68402;68403;68417;72230;72231;72268;72273;72290;76159;77573;78353	84437;84436;68444;68445;56214;56213;84407;84429;68433;68434;42433;42434;44715;56359	91528;3614;91908;91565;41665;92177;92330;35510;84496;23064;84499;84512;68388;84427;72277;84406	91587;2465;3622;91545;35315;41690;92282;33451;42736;49471;85732	84426;84437;84436;68444;68445;56214;56213;84407;84429;68433;68434;41677;12355;12354;92273;92162;92342;35722;84500;84501;56359;68456;72229;72273	17697;84500;84501;84514;84515;72256;84412	92309;41672;41673;92184;92185;92270;92337;92338;12352;31025;92272;92223;92340;41686;92192;92281;92504;92229;92232;92235;32226;35327;72273;78356;78357	737;91530;3663;56224;76843;76842;84452;84486;56207;68417;76826;76844	92074;3613;51710;92217;31019;49257;49258;55532;93625;84507;74160	41684;92346;92210;51710;75960	72251		84431	92218;35315	42427;42428;76827;76828	1272;44710;44711;92210;56227		41675;12352;38948;42731;42722;56359;68425;84358;72251	737;3225;17697;33316;72268;92337	35320;35321;72228
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Sedoreovirinae;g__Rotavirus;s__Rotavirus_F	91513;44711;77967		84505	84505	26893	4814	44711	72277	92446;51714;74162		35331	26893;56204;92193;77967		91587;3661;84519;92459;92462;74171		91513;35327;72233;76806	68414;68415	92094;42428;42430;92425;72273;72277	68444;56213;84407;68433;42424;72273;92341			68443		31040;92195;92236;92174;92175;68403	5958;72256	91513;68443;68442;56212;84406;84426;84427;68432;72240	91587;68417	42744;42745			92364;68442;84426;92263;56170;68405;44715;35327	91535;92096;68443;68442;56212;56211;84406;84405;84426;84427;68432;77979;56162	3114;91897;3661;84434;84435;68443;68442;56212;56211;84406;84405;84426;84427;68431;68432;23887;72276	3116;72249;72248;17708;17709;77985;17715;17716;77992;17717;44715;92282;92272;35510;92203;56154;68433;68444;92426;84407		56204;68380;68429	91587;3668;3686;92464;42426;48006			91528;3614;91908;91565;35510;84496;23064;84499;84512;84427;72240;72277;84406	91587;3622;91545;35315;41690;92282		17697;72256	41673;92185;92270;92338;12352;31025;92272;92223;92340;92192;92281;92504;92229;35327;72273	91530;3663;56207;68417;76826	92074;3613;51710;74160	51710;75960	72251			92053;56138;35315	42427;42428;76827;76828	1272;44711		41675;12352;38948;42731;68425;72251	17697	35320;35321
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Sedoreovirinae;g__Rotavirus;s__Rotavirus_G	3210;33322	33322			50207	5955;5990;33322;42411;69250	69303	6006			3142;5990;67664	50207		2298;3139;3156;56372		3165;11346;38868;49469;56369;56371;56372;69234	5945;33322	11346;42428;57408;33316;42430;51382;69244	5990;42424		3112	3106;3123;81484;93258		3159;3210;69239;69319	5958;49468			33317;56371				91535;5990;77979;49333	81484;42421;42442;56369	49333	5955;42413;69258;69363;69364	67664	3128;3172;5985;42426	33303;42413	3190;5990;52451;29198;42413;42433;42434;69315	2298;5945;42437;42438;69315;13058;53327;67662;72240	57409;57410;49470;49471		3175;42424;51388;51389;56371;56372;67665	5981;29198;41742;41743;50207;69236				72251			2298;3231	42427;42428;56371			72251	5989;33316	
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Sedoreovirinae;g__Rotavirus;s__Rotavirus_H	3210	3132	3191	3191		5955;5990;42411;51373;69250	69303	6006			3142;5990	56363		3139;3156;56372	3220;51376;51377;51402	3165;11346;38868;49469;56369;56371;56372;69234	5945	3171;92094;11346;42428;57408;33316;42430;51382;69244	5990;42424		3112	3106;3123;56364;81484;93258		3159;3210;51377;69239;69319	3220;5958;49468		3225	56371	3225		51384	91535;5990;56363;77979	81484;42421;42442;56363;56369	3199;51407	5955;42413;69258;69364	3220	3128;3172;3229;5985;42426	3228;42413	3190;5990;42413;69315	3132;5945;42437;42438;69315;13058;53327;67662;72240	57409;57410;49471;73097		3175;3193;42424;51376;51388;51389;56371;56372	3228	91530			72251			3231	42427;42428;56371			51377;56359;72251;80012	3225;33316	
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Sedoreovirinae;g__Seadornavirus;s__Banna_virus			76227;76288	76227;76288;79375		76299	76184				76219		76211	76184;76265;76294;79386	76227;76228;76313			76165;79126;79127;79367;79391				76171;76172;76203;76204;76244;76245				76276		76237;76242				76276;76309;79116;79117;79368	76226;76261	76184;76232;76261;76262;76276			76227	76258	76200;76293;76294	76244;76245;79391	76287;76291	76184;79373	76290		76198;76199	79114	79121;79122					76181;79113;79114			18755;61324	76169;76192;76193;79121;79397	76165
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Sedoreovirinae;g__Seadornavirus;s__Kadipiro_virus			76227;76288	76227;76288		76299			31911		76219			76294	76227;76228;76313							76171;76172;76203;76204						76237						80503;76232			76227	76258	76200;76293;76294		76287;76291	16190;20842;47661;55888;76287;76288	76290		76198					45072		76181					
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Sedoreovirinae;g__Seadornavirus;s__Liao_ning_virus			76227	76227		76299	12396				76219			12396;66248;76294	76227;76228;76313		65604	79391				38410;76172;76203;76204;76245										76309		76232			76227	12396;76258	76200;76293;76294	76245;79391	76287		76290		76198				12396			76181				12396	
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Spinareovirinae;g__Coltivirus;s__Colorado_tick_fever_virus		75337;75804;75805							36617			75634;75635		58574;75839;75840	75711;75712	39609;75690			75357;75358;75783	75321	75367	75690		75696;75709	75321		75783	75676;75677						75325;75326		75362	75362	75687;75698;75735		70530;75338;75825		58576;58577;75338;75771;79400;79401	75690	75359;75690;75802	75734;75828		75657			66878	75321						
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Spinareovirinae;g__Coltivirus;s__Eyach_virus		75337;75804;75805	44657						42278			75634;75635		58574;75839;75840	42021;75711;75712				75357;75358;75783	75321	75367			75696;75709	75321		75783	75676;75677						75325;75326		75362	75362	75698;75735		34381;75338;75825		58576;58577;75338;75771;79400;79401		42662;75359;75802	75734		75657				75321						
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Spinareovirinae;g__Orthoreovirus;s__Mammalian_orthoreovirus	50151		74504	74504	77344		77821					77344				47357		48835						69319				48835		689		71857		80995;80966;80911;81526			42299				88946	10912		88512		66626	75519		6013			48503			28154;28155	16791;70617	
d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Spinareovirinae;g__Orthoreovirus;s__Pteropine_orthoreovirus																92232	2256							68044					73880			11204		32265						34380				92232											82608;31131	54971	
d__Viruses;-__ssDNA_viruses;-__unclassified_ssDNA_viruses;s__MSSI2_225_virus																																																							60879		
d__Viruses;-__ssDNA_viruses;-__unclassified_ssDNA_viruses;s__unidentified_circular_ssDNA_virus		19260;89119														16377;89119								19260;89119										12330										89119													
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;-__unclassified_Anelloviridae;s__Gorilla_anellovirus			84550	84550									79552	18969;18978;75393;75423;79604				18967;75417				71633;71634						71861;71862				84537	71862		71642			71861;71862			79574		71590	1649;84537												71575;84550	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;-__unclassified_Anelloviridae;s__Rodent_Torque_teno_virus_2																		18967																																							
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;-__unclassified_Anelloviridae;s__Seal_anellovirus_3																																																									
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;-__unclassified_Anelloviridae;s__Seal_anellovirus_TFFN_USA_2006																																									17562;82133																
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;-__unclassified_Anelloviridae;s__Small_anellovirus													79552		79582			18967;75417			4458	71633;71634		79584				71861;71862					71862				79582	79591;71861;71862			84559;79574			1649		71656										71575	79591
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;-__unclassified_Anelloviridae;s__TTV_like_mini_virus			84550;78917	84550;78917									79552	18969;18978;18979;75393;75423;79604		84534;74828	79559	18967;75417						79584		84534;74828						17373;84537	79558	84534;74828				79591		84551	84559;79574	1643		84537		71656										71575;84550	79591
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;-__unclassified_Anelloviridae;s__Torque_teno_virus	71597;71605	87119	71879;71880;84550;78917;78918	38580;71879;71880;84550;78917;78918			1661;14508	28362			71592		79552	18969;18978;18979;81800;71625;75393;75423;76725;79599;79604	79582;84533;95746	84534;74827;74828;75403		18967;35613;71599;75417			71181;71600	71633;71634		79584		84533;84534;74827;74828		71861;71862				1556;71857;75403	1661;71181;71592;71862;75431	84534;28362;71216;71879;74827;74828	18986;30427;71642	74824	79582;1639	79591;28362;71861;71862;75431		71654;75422;75434;84551	84559;79574;1601;71653	1643	1556;71590	1649;71645;75403	1652;71635	71181;35613;71653;71656	18986;28362;50729;79607				71181;71592	1556			1621;67670;71592	18986;44206;81800;71575;84550	79591
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;-__unclassified_Alphatorquevirus;s__Simian_torque_teno_virus_30			78917	78917									79552	18969;18978;18979;33621;75393;75423;79604				18967;71599;75417				71633;71634						71861;71862				71857	71862					71861;71862		75422	79574	1643	71590													71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;-__unclassified_Alphatorquevirus;s__Simian_torque_teno_virus_32						54407							79552	18969;18978;18979;75393;75423;79604				18967;75417				71633;71634						71861;71862				71857	71862					71861;71862		75422	79574	1643	71590	1649		71656										71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;-__unclassified_Alphatorquevirus;s__Simian_torque_teno_virus_33													79552	18969;18978;18979;75393;75423;79604				18967;71599;75417				71633;71634		79584				71861;71862				71857	71862					71861;71862		75422	79574	1643	71590	1649												71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;-__unclassified_Alphatorquevirus;s__Simian_torque_teno_virus_34			78917	78917									79552	18969;18978;18979;75393;75423;79604				18967;71599;75417		49509		71633;71634		79584				71861;71862				71857	71862					71861;71862			84559;79574;1601	1643;75392	71590	1649;75408		71656										71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;s__Torque_teno_virus_10	71597;71605		71880;78917	71880;78917							71592		79552	18969;18978;18979;75393;75423;79604	95746	84534;74828		18967;71599;75417			71600	71633;71634				84534;74828		71861;71862				71857	71592;71862	84534;74828	71642			71861;71862		75422	84559;1601	1643	71590	1649							71592				71592	71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;s__Torque_teno_virus_12	71597;71605										71592		79552	18969;18978;18979;75393;75423;79604	95746	84534;74828		18967;71599;75417			71600	71633;71634				84534;74828		71861;71862				71857	71592;71862	84534;74828	71642			71861;71862		71654;75422	79574	1643	71590	1649							71592				71592	71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;s__Torque_teno_virus_14			78917;78918	78917;78918									79552	18969;18978;18979;75393;75423;79604	95746	84534;74828		18967;75417				71633;71634				84534;74828		71862				71857	71862	84534;74828				71862		75422		1643	71590	1649		71656										71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;s__Torque_teno_virus_15			78917	78917									79552	18969;18978;18979;75393;75423;79604	84533	84534;74827;74828		18967;75417				71633;71634				84533;84534;74827;74828		71861;71862				71857	71862	84534;74827;74828				71861;71862		75422	79574	1643	71590	1649		71656										71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;s__Torque_teno_virus_16			71880;78917	71880;78917									79552	18969;18978;18979;71625;75393;75423;79604	84533;95746	84534;74827;74828		18967;71599;75417				71633;71634		79584		84533;84534;74827;74828		71861;71862				71857	71862;75431	84534;74827;74828				71861;71862;75431		75422	79574	1643	71590	1649		71656									1621	71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;s__Torque_teno_virus_19			78917;78918	78917;78918									79552	18969;18978;18979;81800;75393;75423;79604	95746	84534;74828		18967;71599;75417				71633;71634		79584		84534;74828		71861;71862				71857	71862	84534;74828				71861;71862		71654;75422	79574	1643	71590	1649												81800;71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;s__Torque_teno_virus_2							1661						79552	18969;18978;18979;75393;75423;79604	84533;95746	84534;74827;74828		18967;71599;75417			71600	71633;71634				84533;84534;74827;74828		71861;71862				71857	1661;71862	84534;74827;74828				71861;71862		75422;75434	79574	1643	71590	1649	1652											71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;s__Torque_teno_virus_25			78917	78917									79552	18978;18979;75393;75423;79604		75403		18967;71599				71633;71634						71861;71862				71857;75403	71862					71861;71862;75390			84559;1601;75390;75391	1643;75392	71590	1649;75403;75408		71656										71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;s__Torque_teno_virus_26														18969;18978;18979;75393;75423;79604				18967;71599;75417			71600	71633;71634						71861;71862				71857	71862					71861;71862		71654	84559;1601	1643;55481;66825	71590													71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;s__Torque_teno_virus_27													79552	18969;18978;18979;71625;75393;75423;79604		84534;74828		18967;71599;75417			71600	71633;71634				84534;74828		71861;71862				71857	71862	84534;74828	71642			71861;71862		71654	84559;1601;71653	1643	71590	1649;71645	71635	71653;71656										71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;s__Torque_teno_virus_28			78917	78917									79552	18969;18978;18979;71625;75393;75423;79604		84534		18967;71599;75417			71600	71633;71634						71861;71862					71862	84534	71642			71861;71862		71654	79574	1643	71590	1649		71656										71575	
d__Viruses;-__ssDNA_viruses;f__Anelloviridae;g__Alphatorquevirus;s__Torque_teno_virus_3			78917	78917			1661						79552	18969;18978;18979;75393;75423;79599;79604	95746	84534;74828		18967;71599;75417				71633;71634				84534;74828		71861;71862				1556;71857	1661;71862;75431	84534;91147;74828			1639	71861;71862;75431		75422	84559;79574;1601	1643	1556;71590	1649	1652	71656						1556			1621	71575	
