virus_subfamily,virus_species
Phenuiviridae,Arumowot_virus
Phenuiviridae,Bujaru_phlebovirus
Phenuiviridae,Candiru_phlebovirus
Phenuiviridae,Heartland_virus
Phenuiviridae,Punta_Toro_phlebovirus
Phenuiviridae,Rift_Valley_fever_phlebovirus
Phenuiviridae,Salehabad_phlebovirus
Phenuiviridae,Sandfly_fever_Naples_phlebovirus
Phenuiviridae,Sandfly_fever_Sicilian_virus
Phenuiviridae,SFTS_phlebovirus
Phenuiviridae,Tapara_virus
Phenuiviridae,Toros_virus
Phenuiviridae,Uriurana_virus
Phenuiviridae,Urucuri_virus
Phenuiviridae,Uukuniemi_phlebovirus
Picobirnaviridae,Human_picobirnavirus
Caphthovirinae,Cardiovirus_A
Caphthovirinae,Cardiovirus_B
Caphthovirinae,Cosavirus_A
Caphthovirinae,Cosavirus_JMY_2014
Caphthovirinae,Human_cosavirus
Caphthovirinae,Human_cosavirus_B
Caphthovirinae,Human_cosavirus_D
Caphthovirinae,Human_cosavirus_E
Caphthovirinae,Human_cosavirus_F
Ensavirinae,Enterovirus_A
Ensavirinae,Enterovirus_B
Ensavirinae,Enterovirus_C
Ensavirinae,Enterovirus_D
Ensavirinae,Enterovirus_H
Ensavirinae,Human_enterovirus
Ensavirinae,Rhinovirus_A
Ensavirinae,Rhinovirus_B
Ensavirinae,Rhinovirus_C
Heptrevirinae,Hepatovirus_A
Kodimesavirinae,Aichivirus_A
Picornaviridae,Human_parechovirus
Kodimesavirinae,Rosavirus_A
Kodimesavirinae,Salivirus_A
Kodimesavirinae,Salivirus_FHB
Pneumoviridae,Human_metapneumovirus
Pneumoviridae,Human_orthopneumovirus
Pneumoviridae,Respiratory_syncytial_virus
Sepvirinae,Escherichia_virus_191
Polyomaviridae,Human_polyomavirus_12
Polyomaviridae,Human_polyomavirus_9
Polyomaviridae,Human_polyomavirus_1
Polyomaviridae,Human_polyomavirus_2
Polyomaviridae,Human_polyomavirus_4
Polyomaviridae,Macaca_mulatta_polyomavirus_1
Polyomaviridae,Human_polyomavirus_6
Polyomaviridae,Human_polyomavirus_7
Polyomaviridae,KI_polyomavirus
Polyomaviridae,LI_polyomavirus
Polyomaviridae,Merkel_cell_polyomavirus
Polyomaviridae,MW_polyomavirus
Polyomaviridae,New_Jersey_polyomavirus_2013
Polyomaviridae,STL_polyomavirus
Polyomaviridae,Trichodysplasia_spinulosa_associated_polyomavirus
Chordopoxvirinae,Molluscum_contagiosum_virus
Chordopoxvirinae,Cowpox_virus
Chordopoxvirinae,Ectromelia_virus
Chordopoxvirinae,Monkeypox_virus
Chordopoxvirinae,Vaccinia_virus
Chordopoxvirinae,Variola_virus
Chordopoxvirinae,Orf_virus
Chordopoxvirinae,Tanapox_virus
Chordopoxvirinae,Yaba_monkey_tumor_virus
Spinareovirinae,Mammalian_orthoreovirus
Sedoreovirinae,Rotavirus_A
Sedoreovirinae,Rotavirus_C
Sedoreovirinae,Rotavirus_F
Sedoreovirinae,Rotavirus_G
Sedoreovirinae,Banna_virus
Sedoreovirinae,Kadipiro_virus
Sedoreovirinae,Liao_ning_virus
Orthoretrovirinae,Human_T_lymphotropic_virus_4
Orthoretrovirinae,Primate_T_lymphotropic_virus_1
Orthoretrovirinae,Primate_T_lymphotropic_virus_2
Orthoretrovirinae,Primate_T_lymphotropic_virus_3
Orthoretrovirinae,Murine_leukemia_related_retroviruses
Orthoretrovirinae,Murine_leukemia_virus
Orthoretrovirinae,Porcine_type_C_oncovirus
Orthoretrovirinae,Human_immunodeficiency_virus_1
Orthoretrovirinae,Human_immunodeficiency_virus_2
Spumaretrovirinae,African_green_monkey_simian_foamy_virus
Spumaretrovirinae,Macaque_simian_foamy_virus
Spumaretrovirinae,Simian_foamy_virus
Retroviridae,Human_endogenous_retrovirus_K
Alpharhabdovirinae,Le_Dantec_ledantevirus
Alpharhabdovirinae,Aravan_lyssavirus
Alpharhabdovirinae,Australian_bat_lyssavirus
Alpharhabdovirinae,Bokeloh_bat_lyssavirus
Alpharhabdovirinae,Duvenhage_lyssavirus
Alpharhabdovirinae,European_bat_1_lyssavirus
Alpharhabdovirinae,European_bat_2_lyssavirus
Alpharhabdovirinae,Ikoma_lyssavirus
Alpharhabdovirinae,Irkut_lyssavirus
Alpharhabdovirinae,Khujand_lyssavirus
Alpharhabdovirinae,Lagos_bat_lyssavirus
Alpharhabdovirinae,Lleida_bat_lyssavirus
Alpharhabdovirinae,Lyssavirus_Ozernoe
Alpharhabdovirinae,Mokola_lyssavirus
Alpharhabdovirinae,Rabies_lyssavirus
Alpharhabdovirinae,Shimoni_bat_lyssavirus
Alpharhabdovirinae,West_Caucasian_bat_lyssavirus
Alpharhabdovirinae,Chandipura_vesiculovirus
Alpharhabdovirinae,Indiana_vesiculovirus
Alpharhabdovirinae,Isfahan_vesiculovirus
Alpharhabdovirinae,Jurona_vesiculovirus
Alpharhabdovirinae,Maraba_vesiculovirus
Togaviridae,Barmah_Forest_virus
Togaviridae,Chikungunya_virus
Togaviridae,Eastern_equine_encephalitis_virus
Togaviridae,Getah_virus
Togaviridae,Mayaro_virus
Togaviridae,O_nyong_nyong_virus
Togaviridae,Ross_River_virus
Togaviridae,Semliki_Forest_virus
Togaviridae,Sindbis_virus
Togaviridae,Venezuelan_equine_encephalitis_virus
Togaviridae,Western_equine_encephalitis_virus
Togaviridae,Rubella_virus
Kolmioviridae,Hepatitis_delta_virus
unclassified_family,Husavirus_sp
