virus_subfamily,virus_species
Adenoviridae,Human_mastadenovirus_A
Adenoviridae,Human_mastadenovirus_B
Adenoviridae,Human_mastadenovirus_C
Adenoviridae,Human_mastadenovirus_D
Adenoviridae,Human_mastadenovirus_E
Adenoviridae,Human_mastadenovirus_F
Adenoviridae,Human_mastadenovirus_G
Adenoviridae,Platyrrhini_mastadenovirus_A
Alphaherpesvirinae,Cercopithecine_alphaherpesvirus_2
Alphaherpesvirinae,Human_alphaherpesvirus_1
Alphaherpesvirinae,Human_alphaherpesvirus_2
Alphaherpesvirinae,Macacine_alphaherpesvirus_1
Alphaherpesvirinae,Papiine_alphaherpesvirus_2
Anelloviridae,Simian_torque_teno_virus_32
Anelloviridae,Simian_torque_teno_virus_34
Anelloviridae,Torque_teno_virus_12
Anelloviridae,Torque_teno_virus_14
Anelloviridae,Torque_teno_virus_15
Anelloviridae,Torque_teno_virus_16
Anelloviridae,Torque_teno_virus_19
Anelloviridae,Torque_teno_virus_2
Anelloviridae,Torque_teno_virus_25
Anelloviridae,Torque_teno_virus_26
Anelloviridae,Torque_teno_virus_27
Anelloviridae,Torque_teno_virus_28
Anelloviridae,Torque_teno_virus_3
Anelloviridae,Torque_teno_virus_4
Anelloviridae,Torque_teno_virus_6
Anelloviridae,Torque_teno_virus_7
Anelloviridae,Torque_teno_virus_8
Anelloviridae,Torque_teno_mini_virus_1
Anelloviridae,Gorilla_anellovirus
Anelloviridae,Torque_teno_virus
Arenaviridae,Mopeia_Lassa_virus_reassortant_29
Arenaviridae,Allpahuayo_mammarenavirus
Arenaviridae,Amapar_mammarenavirus
Arenaviridae,Bear_Canyon_mammarenavirus
Arenaviridae,Chapare_mammarenavirus
Arenaviridae,Cupixi_mammarenavirus
Arenaviridae,Flexal_mammarenavirus
Arenaviridae,Gairo_mammarenavirus
Arenaviridae,Guanarito_mammarenavirus
Arenaviridae,Ippy_mammarenavirus
Arenaviridae,Junin_mammarenavirus
Arenaviridae,Latino_mammarenavirus
Arenaviridae,Lujo_mammarenavirus
Arenaviridae,Luna_mammarenavirus
Arenaviridae,Lunk_mammarenavirus
Arenaviridae,Lymphocytic_choriomeningitis_mammarenavirus
Arenaviridae,Machupo_mammarenavirus
Arenaviridae,Mobala_mammarenavirus
Arenaviridae,Mopeia_mammarenavirus
Arenaviridae,Oliveros_mammarenavirus
Arenaviridae,Parana_mammarenavirus
Arenaviridae,Pichinde_mammarenavirus
Arenaviridae,Pirital_mammarenavirus
Arenaviridae,Sabia_mammarenavirus
Arenaviridae,Tacaribe_mammarenavirus
Arenaviridae,Tamiami_mammarenavirus
Arenaviridae,Whitewater_Arroyo_mammarenavirus
Arenaviridae,Alethinophid_1_reptarenavirus
Arenaviridae,Morogoro_mammarenavirus
Astroviridae,Burkina_Faso_astrovirus
Astroviridae,HMO_Astrovirus_A
Astroviridae,Mamastrovirus_1
Astroviridae,Astrovirus_MLB1
Astroviridae,Astrovirus_MLB2
Astroviridae,Astrovirus_MLB3
Astroviridae,Astrovirus_VA1
Astroviridae,Astrovirus_VA3
Astroviridae,Astrovirus_VA4
Astroviridae,Human_astrovirus
Betaherpesvirinae,Human_betaherpesvirus_7
Caliciviridae,Norwalk_virus
Caliciviridae,Bat_sapovirus_TLC58_HK
Caliciviridae,Sapporo_virus
Circoviridae,Porcine_circovirus_2
Circoviridae,Cyclovirus_PK5510
Circoviridae,Human_cyclovirus
Orthocoronavirinae,Betacoronavirus_1
Orthocoronavirinae,Human_coronavirus_HKU1
Orthocoronavirinae,Middle_East_respiratory_syndrome_related_coronavirus
Orthocoronavirinae,SARS_related_coronavirus
Filoviridae,Reston_ebolavirus
Filoviridae,Sudan_ebolavirus
Filoviridae,Zaire_ebolavirus
Filoviridae,Marburg_marburgvirus
Flaviviridae,Aedes_flavivirus
Flaviviridae,Apoi_virus
Flaviviridae,Aroa_virus
Flaviviridae,Bagaza_virus
Flaviviridae,Banzi_virus
Flaviviridae,Bouboui_virus
Flaviviridae,Cell_fusing_agent_virus
Flaviviridae,Chaoyang_virus
Flaviviridae,Culex_flavivirus
Flaviviridae,Dengue_virus
Flaviviridae,Donggang_virus
Flaviviridae,Edge_Hill_virus
Flaviviridae,Entebbe_bat_virus
Flaviviridae,Gadgets_Gully_virus
Flaviviridae,Hanko_virus
Flaviviridae,Ilheus_virus
Flaviviridae,Japanese_encephalitis_virus
Flaviviridae,Jugra_virus
Flaviviridae,Kadam_virus
Flaviviridae,Kamiti_River_virus
Flaviviridae,Kedougou_virus
Flaviviridae,Kokobera_virus
Flaviviridae,Kyasanur_forest_disease_virus
Flaviviridae,Langat_virus
Flaviviridae,Louping_ill_virus
Flaviviridae,Meaban_virus
Flaviviridae,Mercadeo_virus
Flaviviridae,Modoc_virus
Flaviviridae,Montana_myotis_leukoencephalitis_virus
Flaviviridae,Murray_Valley_encephalitis_virus
Flaviviridae,Nounane_virus
Flaviviridae,Ntaya_virus
Flaviviridae,Ochlerotatus_caspius_flavivirus
Flaviviridae,Omsk_hemorrhagic_fever_virus
Flaviviridae,Palm_Creek_virus
Flaviviridae,Paraiso_Escondido_virus
Flaviviridae,Parramatta_River_virus
Flaviviridae,Phnom_Penh_bat_virus
Flaviviridae,Powassan_virus
Flaviviridae,Quang_Binh_virus
Flaviviridae,Rio_Bravo_virus
Flaviviridae,Royal_Farm_virus
Flaviviridae,Saboya_virus
Flaviviridae,Saumarez_Reef_virus
Flaviviridae,Sepik_virus
Flaviviridae,Spanish_goat_encephalitis_virus
Flaviviridae,Spondweni_virus
Flaviviridae,St__Louis_encephalitis_virus
Flaviviridae,T_Ho_virus
Flaviviridae,Tamana_bat_virus
Flaviviridae,Tembusu_virus
Flaviviridae,Tick_borne_encephalitis_virus
Flaviviridae,Uganda_S_virus
Flaviviridae,Usutu_virus
Flaviviridae,Wesselsbron_virus
Flaviviridae,West_Nile_virus
Flaviviridae,Yaounde_virus
Flaviviridae,Yellow_fever_virus
Flaviviridae,Yokose_virus
Flaviviridae,Zika_virus
Flaviviridae,Bat_hepacivirus
Flaviviridae,Bovine_hepacivirus
Flaviviridae,Guereza_hepacivirus
Flaviviridae,Hepatitis_C_virus
Flaviviridae,Norway_rat_hepacivirus_1
Flaviviridae,Norway_rat_hepacivirus_2
Flaviviridae,Rodent_hepacivirus
Flaviviridae,Human_pegivirus_2
Flaviviridae,Pegivirus_C
Gammaherpesvirinae,Human_gammaherpesvirus_4
Gammaherpesvirinae,Human_gammaherpesvirus_8
Mammantavirinae,Bowe_orthohantavirus
Mammantavirinae,Bruges_orthohantavirus
Mammantavirinae,Cao_Bang_orthohantavirus
Mammantavirinae,Dobrava_Belgrade_orthohantavirus
Mammantavirinae,Fugong_orthohantavirus
Mammantavirinae,Hantaan_orthohantavirus
Mammantavirinae,Hantavirus_Z10
Mammantavirinae,Jeju_orthohantavirus
Mammantavirinae,Montano_orthohantavirus
Mammantavirinae,Nova_orthohantavirus
Mammantavirinae,Puumala_orthohantavirus
Mammantavirinae,Quezon_orthohantavirus
Mammantavirinae,Seoul_orthohantavirus
Mammantavirinae,Sin_Nombre_orthohantavirus
Mammantavirinae,Tula_orthohantavirus
Hepadnaviridae,Hepatitis_B_virus
Orthohepevirinae,Orthohepevirus_A
Orthohepevirinae,Orthohepevirus_D
Orthohepevirinae,Bat_hepevirus
Nairoviridae,Crimean_Congo_hemorrhagic_fever_orthonairovirus
Nairoviridae,Hughes_orthonairovirus
Nairoviridae,Kasokero_orthonairovirus
Nairoviridae,Leopards_Hill_virus
Nairoviridae,Nairobi_sheep_disease_orthonairovirus
Nairoviridae,Thiafora_orthonairovirus
Nairoviridae,Tofla_virus
Nairoviridae,Yogue_virus
Orthomyxoviridae,Influenza_A_virus
Orthomyxoviridae,Influenza_B_virus
Orthomyxoviridae,Influenza_C_virus
Firstpapillomavirinae,Alphapapillomavirus_1
Firstpapillomavirinae,Alphapapillomavirus_10
Firstpapillomavirinae,Alphapapillomavirus_11
Firstpapillomavirinae,Alphapapillomavirus_13
Firstpapillomavirinae,Alphapapillomavirus_14
Firstpapillomavirinae,Alphapapillomavirus_2
Firstpapillomavirinae,Alphapapillomavirus_3
Firstpapillomavirinae,Alphapapillomavirus_4
Firstpapillomavirinae,Alphapapillomavirus_5
Firstpapillomavirinae,Alphapapillomavirus_6
Firstpapillomavirinae,Alphapapillomavirus_7
Firstpapillomavirinae,Alphapapillomavirus_8
Firstpapillomavirinae,Alphapapillomavirus_9
Firstpapillomavirinae,Betapapillomavirus_1
Firstpapillomavirinae,Betapapillomavirus_2
Firstpapillomavirinae,Betapapillomavirus_3
Firstpapillomavirinae,Betapapillomavirus_4
Firstpapillomavirinae,Betapapillomavirus_5
Firstpapillomavirinae,Betapapillomavirus_6
Firstpapillomavirinae,Colobus_monkey_papillomavirus
Firstpapillomavirinae,Gammapapillomavirus_1
Firstpapillomavirinae,Gammapapillomavirus_10
Firstpapillomavirinae,Gammapapillomavirus_11
Firstpapillomavirinae,Gammapapillomavirus_12
Firstpapillomavirinae,Gammapapillomavirus_13
Firstpapillomavirinae,Gammapapillomavirus_14
Firstpapillomavirinae,Gammapapillomavirus_15
Firstpapillomavirinae,Gammapapillomavirus_16
Firstpapillomavirinae,Gammapapillomavirus_17
Firstpapillomavirinae,Gammapapillomavirus_18
Firstpapillomavirinae,Gammapapillomavirus_19
Firstpapillomavirinae,Gammapapillomavirus_2
Firstpapillomavirinae,Gammapapillomavirus_20
Firstpapillomavirinae,Gammapapillomavirus_21
Firstpapillomavirinae,Gammapapillomavirus_22
Firstpapillomavirinae,Gammapapillomavirus_24
Firstpapillomavirinae,Gammapapillomavirus_3
Firstpapillomavirinae,Gammapapillomavirus_4
Firstpapillomavirinae,Gammapapillomavirus_5
Firstpapillomavirinae,Gammapapillomavirus_6
Firstpapillomavirinae,Gammapapillomavirus_7
Firstpapillomavirinae,Gammapapillomavirus_8
Firstpapillomavirinae,Gammapapillomavirus_9
Firstpapillomavirinae,Human_papillomavirus_KC5
Firstpapillomavirinae,Human_papillomavirus_type_201
Firstpapillomavirinae,Mupapillomavirus_1
Firstpapillomavirinae,Mupapillomavirus_2
Firstpapillomavirinae,Nupapillomavirus_1
Papillomaviridae,Human_papillomavirus
Papillomaviridae,Human_papillomavirus_type_136
Papillomaviridae,Human_papillomavirus_type_140
Papillomaviridae,Human_papillomavirus_type_141
Papillomaviridae,Human_papillomavirus_type_143
Papillomaviridae,Human_papillomavirus_type_145
Papillomaviridae,Human_papillomavirus_type_154
Papillomaviridae,Human_papillomavirus_type_155
Papillomaviridae,Human_papillomavirus_type_179
Papillomaviridae,Human_papillomavirus_type_197
Papillomaviridae,Human_papillomavirus_type_78
Avulavirinae,Avian_avulavirus_3
Avulavirinae,Avian_avulavirus_6
Avulavirinae,Avian_paramyxovirus_13
Orthoparamyxovirinae,Cedar_henipavirus
Orthoparamyxovirinae,Hendra_henipavirus
Orthoparamyxovirinae,Mojiang_henipavirus
Orthoparamyxovirinae,Nipah_henipavirus
Orthoparamyxovirinae,Bovine_respirovirus_3
Orthoparamyxovirinae,Human_respirovirus_1
Orthoparamyxovirinae,Human_respirovirus_3
Orthoparamyxovirinae,Porcine_respirovirus_1
Rubulavirinae,Achimota_rubulavirus_1
Rubulavirinae,Human_rubulavirus_4
Rubulavirinae,Mumps_rubulavirus
Rubulavirinae,Tuhoko_rubulavirus_1
Orthoparamyxovirinae,Salem_virus
Parvovirinae,Human_erythrovirus_V9
Parvovirinae,Primate_erythroparvovirus_1
Peribunyaviridae,Akabane_orthobunyavirus
Peribunyaviridae,Brazoran_virus
Peribunyaviridae,Bunyamwera_orthobunyavirus
Peribunyaviridae,Bwamba_orthobunyavirus
Peribunyaviridae,California_encephalitis_orthobunyavirus
Peribunyaviridae,Capim_orthobunyavirus
Peribunyaviridae,Caraparu_orthobunyavirus
Peribunyaviridae,Guaroa_orthobunyavirus
Peribunyaviridae,Kaeng_Khoi_orthobunyavirus
Peribunyaviridae,Madrid_orthobunyavirus
Peribunyaviridae,Manzanilla_orthobunyavirus
Peribunyaviridae,Marituba_orthobunyavirus
Peribunyaviridae,Nyando_orthobunyavirus
Peribunyaviridae,Oriboca_orthobunyavirus
Peribunyaviridae,Oropouche_orthobunyavirus
Peribunyaviridae,Sathuperi_orthobunyavirus
Peribunyaviridae,Shamonda_orthobunyavirus
Peribunyaviridae,Shuni_orthobunyavirus
Peribunyaviridae,Simbu_orthobunyavirus
Peribunyaviridae,Tete_orthobunyavirus
Peribunyaviridae,Wyeomyia_orthobunyavirus
Phenuiviridae,Aguacate_virus
Phenuiviridae,Ambe_virus
Phenuiviridae,Anhanga_virus
